image,f1_mic,f2_mic,f3_mic,f4_mic,f5_mic,f6_mic,f7_mic,f8_mic,f9_mic,f10_mic,f11_mic,f12_mic,f13_mic,f14_mic,f15_mic,f16_mic,f1_mac,f2_mac,f3_mac,f4_mac,f5_mac,f6_mac,f7_mac,f8_mac,f9_mac,f10_mac,f11_mac,f12_mac,f13_mac,f14_mac,f15_mac,f16_mac,label
image21.png,1.6674800777186263,1.5816832892199288,1.5639460745073426,1.4571713707616067,2.198926169794093,1.5639040806608349,1.4650803423716627,1.6217596516146435,1.4771984944584473,1.6991126464366113,1.3811160937542564,2.5237732365744923,1.412868727693312,1.52956063957879,1.4041451383332761,1.4309554377470397,182.0,243.0,263.0,280.0,208.0,245.0,258.0,256.0,242.0,196.0,286.0,181.0,242.0,241.0,268.0,252.0,123.0
image22.png,1.6674800777186263,1.5816832892199288,1.5639460745073426,1.4571713707616067,2.198926169794093,1.5639040806608349,1.4650803423716627,1.6217596516146435,1.4771984944584473,1.6991126464366113,1.3811160937542564,2.5237732365744923,1.412868727693312,1.52956063957879,1.4041451383332761,1.4309554377470397,182.0,243.0,263.0,280.0,208.0,245.0,258.0,256.0,242.0,196.0,286.0,181.0,242.0,241.0,268.0,252.0,119.0
image23.png,1.6674800777186263,1.5816832892199288,1.5639460745073426,1.4571713707616067,2.198926169794093,1.5639040806608349,1.4650803423716627,1.6217596516146435,1.4771984944584473,1.6991126464366113,1.3811160937542564,2.5237732365744923,1.412868727693312,1.52956063957879,1.4041451383332761,1.4309554377470397,182.0,243.0,263.0,280.0,208.0,245.0,258.0,256.0,242.0,196.0,286.0,181.0,242.0,241.0,268.0,252.0,119.0
image24.png,1.6674800777186263,1.5816832892199288,1.5639460745073426,1.4571713707616067,2.198926169794093,1.5639040806608349,1.4650803423716627,1.6217596516146435,1.4771984944584473,1.6991126464366113,1.3811160937542564,2.5237732365744923,1.412868727693312,1.52956063957879,1.4041451383332761,1.4309554377470397,182.0,243.0,263.0,280.0,208.0,245.0,258.0,256.0,242.0,196.0,286.0,181.0,242.0,241.0,268.0,252.0,121.0
image25.png,5.826309099254543,1.560459306207208,1.6666896800482243,1.557684691730753,2.0201879749671305,1.6191319724374023,1.458892238337101,1.706149859089084,1.6138565259694126,2.270449456527695,1.4810244642924002,1.9492359447162815,1.4349574930107067,1.6584937343561705,1.455348843615773,1.5000170854417483,174.0,253.0,288.0,260.0,207.0,280.0,255.0,280.0,242.0,188.0,298.0,191.0,251.0,204.0,249.0,251.0,118.0
image26.png,5.826309099254543,1.560459306207208,1.6666896800482243,1.557684691730753,2.0201879749671305,1.6191319724374023,1.458892238337101,1.706149859089084,1.6138565259694126,2.270449456527695,1.4810244642924002,1.9492359447162815,1.4349574930107067,1.6584937343561705,1.455348843615773,1.5000170854417483,174.0,253.0,288.0,260.0,207.0,280.0,255.0,280.0,242.0,188.0,298.0,191.0,251.0,204.0,249.0,251.0,119.0
image27.png,5.826309099254543,1.560459306207208,1.6666896800482243,1.557684691730753,2.0201879749671305,1.6191319724374023,1.458892238337101,1.706149859089084,1.6138565259694126,2.270449456527695,1.4810244642924002,1.9492359447162815,1.4349574930107067,1.6584937343561705,1.455348843615773,1.5000170854417483,174.0,253.0,288.0,260.0,207.0,280.0,255.0,280.0,242.0,188.0,298.0,191.0,251.0,204.0,249.0,251.0,120.0
image28.png,1.7404677322521407,1.6012435203204924,1.5400254629780883,1.4696948670901293,1.691296983103833,1.4346904667422602,1.3915212374033665,1.4517611090547566,1.4855045063279917,1.7660435725728802,1.3771041478072734,2.1032748310337466,1.4253751347143013,1.4880631465373757,1.4107527838818295,1.40947308302644,196.0,226.0,236.0,265.0,222.0,253.0,262.0,254.0,251.0,212.0,290.0,197.0,249.0,211.0,250.0,245.0,123.0
image29.png,1.7404677322521407,1.6012435203204924,1.5400254629780883,1.4696948670901293,1.691296983103833,1.4346904667422602,1.3915212374033665,1.4517611090547566,1.4855045063279917,1.7660435725728802,1.3771041478072734,2.1032748310337466,1.4253751347143013,1.4880631465373757,1.4107527838818295,1.40947308302644,196.0,226.0,236.0,265.0,222.0,253.0,262.0,254.0,251.0,212.0,290.0,197.0,249.0,211.0,250.0,245.0,121.0
image30.png,1.7404677322521407,1.6012435203204924,1.5400254629780883,1.4696948670901293,1.691296983103833,1.4346904667422602,1.3915212374033665,1.4517611090547566,1.4855045063279917,1.7660435725728802,1.3771041478072734,2.1032748310337466,1.4253751347143013,1.4880631465373757,1.4107527838818295,1.40947308302644,196.0,226.0,236.0,265.0,222.0,253.0,262.0,254.0,251.0,212.0,290.0,197.0,249.0,211.0,250.0,245.0,121.0
